trip_id,arrival_time,departure_time,stop_id,stop_sequence
IC1.014,19:46:00,19:47:00,8507000,4
IC1.015,20:07:00,20:07:00,8503000,1
IC1.015,20:16:00,20:17:00,8500120,2
IC1.015,20:30:00,20:31:00,8500218,3
IC1.015,20:39:00,20:40:00,8507000,4
IC1.016,21:07:00,21:07:00,8503000,1
IC1.016,21:23:00,21:24:00,8500120,2
IC1.016,21:32:00,21:33:00,8500218,3
IC1.016,21:44:00,21:45:00,8507000,4
IR75.001,06:07:00,06:07:00,8503000,1
IR75.001,06:19:00,06:20:00,8502113,2
IR75.001,06:31:00,06:32:00,8502207,3
IR75.001,06:47:00,06:48:00,8502204,4
IR75.001,07:03:00,07:04:00,8505000,5
IR75.002,07:07:00,07:07:00,8503000,1
IR75.002,07:18:00,07:19:00,8502113,2
IR75.002,07:34:00,07:35:00,8502207,3
IR75.002,07:46:00,07:47:00,8502204,4
IR75.002,07:57:00,07:58:00,8505000,5
IR75.003,08:07:00,08:07:00,8503000,1
IR75.003,08:19:00,08:20:00,8502113,2
IR75.003,08:30:00,08:31:00,8502207,3
IR75.003,08:42:00,08:43:00,8502204,4
IR75.003,08:56:00,08:57:00,8505000,5
IR75.004,09:07:00,09:07:00,8503000,1
IR75.004,09:19:00,09:20:00,8502113,2
IR75.004,09:31:00,09:32:00,8502207,3
IR75.004,09:45:00,09:46:00,8502204,4
IR75.004,09:59:00,10:00:00,8505000,5
IR75.005,10:07:00,10:07:00,8503000,1
IR75.005,10:23:00,10:24:00,8502113,2
IR75.005,10:37:00,10:38:00,8502207,3
IR75.005,10:48:00,10:49:00,8502204,4
IR75.005,10:59:00,11:00:00,8505000,5
IR75.006,11:07:00,11:07:00,8503000,1
IR75.006,11:21:00,11:22:00,8502113,2
IR75.006,11:37:00,11:38:00,8502207,3
IR75.006,11:49:00,11:50:00,8502204,4
IR75.006,11:58:00,11:59:00,8505000,5
IR75.007,12:07:00,12:07:00,8503000,1
IR75.007,12:23:00,12:24:00,8502113,2
IR75.007,12:35:00,12:36:00,8502207,3
IR75.007,12:44:00,12:45:00,8502204,4
IR75.007,12:53:00,12:54:00,8505000,5
IR75.008,13:07:00,13:07:00,8503000,1
IR75.008,13:21:00,13:22:00,8502113,2
IR75.008,13:35:00,13:36:00,8502207,3
IR75.008,13:44:00,13:45:00,8502204,4
IR75.008,14:00:00,14:01:00,8505000,5
IR75.009,14:07:00,14:07:00,8503000,1
IR75.009,14:23:00,14:24:00,8502113,2
IR75.009,14:39:00,14:40:00,8502207,3
IR75.009,14:50:00,14:51:00,8502204,4
IR75.009,15:06:00,15:07:00,8505000,5
IR75.010,15:07:00,15:07:00,8503000,1
IR75.010,15:23:00,15:24:00,8502113,2
IR75.010,15:37:00,15:38:00,8502207,3
IR75.010,15:49:00,15:50:00,8502204,4
IR75.010,15:58:00,15:59:00,8505000,5
IR75.011,16:07:00,16:07:00,8503000,1
IR75.011,16:18:00,16:19:00,8502113,2
IR75.011,16:34:00,16:35:00,8502207,3
IR75.011,16:43:00,16:44:00,8502204,4
IR75.011,16:59:00,17:00:00,8505000,5
IR75.012,17:07:00,17:07:00,8503000,1
IR75.012,17:23:00,17:24:00,8502113,2
IR75.012,17:37:00,17:38:00,8502207,3
IR75.012,17:46:00,17:47:00,8502204,4
IR75.012,17:58:00,17:59:00,8505000,5
IR75.013,18:07:00,18:07:00,8503000,1
IR75.013,18:16:00,18:17:00,8502113,2
IR75.013,18:32:00,18:33:00,8502207,3
IR75.013,18:41:00,18:42:00,8502204,4
IR75.013,18:52:00,18:53:00,8505000,5
IR75.014,19:07:00,19:07:00,8503000,1
IR75.014,19:23:00,19:24:00,8502113,2
IR75.014,19:39:00,19:40:00,8502207,3
IR75.014,19:51:00,19:52:00,8502204,4
IR75.014,20:03:00,20:04:00,8505000,5
IR75.015,20:07:00,20:07:00,8503000,1
IR75.015,20:19:00,20:20:00,8502113,2
IR75.015,20:30:00,20:31:00,8502207,3
IR75.015,20:41:00,20:42:00,8502204,4
IR75.015,20:50:00,20:51:00,8505000,5
IR75.016,21:07:00,21:07:00,8503000,1
IR75.016,21:21:00,21:22:00,8502113,2
IR75.016,21:37:00,21:38:00,8502207,3
IR75.016,21:46:00,21:47:00,8502204,4
IR75.016,21:55:00,21:56:00,8505000,5
IR75.017,22:07:00,22:07:00,8503000,1
IR75.017,22:21:00,22:22:00,8502113,2
IR75.017,22:33:00,22:34:00,8502207,3
IR75.017,22:47:00,22:48:00,8502204,4
IR75.017,22:56:00,22:57:00,8505000,5
S3.001,05:07:00,05:07:00,8503000,1
S3.001,05:18:00,05:19:00,8502113,2
S3.002,05:37:00,05:37:00,8503000,1
S3.002,05:53:00,05:54:00,8502113,2
S3.003,06:07:00,06:07:00,8503000,1
S3.003,06:18:00,06:19:00,8502113,2
S3.004,06:37:00,06:37:00,8503000,1
S3.004,06:51:00,06:52:00,8502113,2
S3.005,07:07:00,07:07:00,8503000,1
S3.005,07:16:00,07:17:00,8502113,2
S3.006,07:37:00,07:37:00,8503000,1
S3.006,07:48:00,07:49:00,8502113,2
S3.007,08:07:00,08:07:00,8503000,1
S3.007,08:19:00,08:20:00,8502113,2
S3.008,08:37:00,08:37:00,8503000,1
S3.008,08:48:00,08:49:00,8502113,2
S3.009,09:07:00,09:07:00,8503000,1
S3.009,09:16:00,09:17:00,8502113,2
S3.010,09:37:00,09:37:00,8503000,1
S3.010,09:51:00,09:52:00,8502113,2
S3.011,10:07:00,10:07:00,8503000,1
S3.011,10:16:00,10:17:00,8502113,2
S3.012,10:37:00,10:37:00,8503000,1
S3.012,10:48:00,10:49:00,8502113,2
S3.013,11:07:00,11:07:00,8503000,1
S3.013,11:21:00,11:22:00,8502113,2
S3.014,11:37:00,11:37:00,8503000,1
S3.014,11:51:00,11:52:00,8502113,2
S3.015,12:07:00,12:07:00,8503000,1
S3.015,12:18:00,12:19:00,8502113,2
S3.016,12:37:00,12:37:00,8503000,1
S3.016,12:51:00,12:52:00,8502113,2
S3.017,13:07:00,13:07:00,8503000,1
S3.017,13:21:00,13:22:00,8502113,2
S3.018,13:37:00,13:37:00,8503000,1
S3.018,13:51:00,13:52:00,8502113,2
S3.019,14:07:00,14:07:00,8503000,1
S3.019,14:19:00,14:20:00,8502113,2
S3.020,14:37:00,14:37:00,8503000,1
S3.020,14:48:00,14:49:00,8502113,2
S3.021,15:07:00,15:07:00,8503000,1
S3.021,15:19:00,15:20:00,8502113,2
S3.022,15:37:00,15:37:00,8503000,1
S3.022,15:48:00,15:49:00,8502113,2
S3.023,16:07:00,16:07:00,8503000,1
S3.023,16:16:00,16:17:00,8502113,2
S3.024,16:37:00,16:37:00,8503000,1
S3.024,16:49:00,16:50:00,8502113,2
S3.025,17:07:00,17:07:00,8503000,1
S3.025,17:23:00,17:24:00,8502113,2
S3.026,17:37:00,17:37:00,8503000,1
S3.026,17:53:00,17:54:00,8502113,2
S3.027,18:07:00,18:07:00,8503000,1
S3.027,18:21:00,18:22:00,8502113,2
S3.028,18:37:00,18:37:00,8503000,1
S3.028,18:51:00,18:52:00,8502113,2
S3.029,19:07:00,19:07:00,8503000,1
S3.029,19:18:00,19:19:00,8502113,2
S3.030,19:37:00,19:37:00,8503000,1
S3.030,19:48:00,19:49:00,8502113,2
S3.031,20:07:00,20:07:00,8503000,1
S3.031,20:21:00,20:22:00,8502113,2
S3.032,20:37:00,20:37:00,8503000,1
S3.032,20:51:00,20:52:00,8502113,2
S3.033,21:07:00,21:07:00,8503000,1
S3.033,21:19:00,21:20:00,8502113,2
S3.034,21:37:00,21:37:00,8503000,1
S3.034,21:46:00,21:47:00,8502113,2
S3.035,22:07:00,22:07:00,8503000,1
S3.035,22:21:00,22:22:00,8502113,2
S3.036,22:37:00,22:37:00,8503000,1
S3.036,22:49:00,22:50:00,8502113,2
S3.037,23:07:00,23:07:00,8503000,1
S3.037,23:23:00,23:24:00,8502113,2
S3.038,23:37:00,23:37:00,8503000,1
S3.038,23:49:00,23:50:00,8502113,2
S5.001,05:07:00,05:07:00,8503000,1
S5.001,05:21:00,05:22:00,8503006,2
S5.001,05:33:00,05:34:00,8503016,3
S5.001,05:45:00,05:46:00,8503060,4
S5.002,05:37:00,05:37:00,8503000,1
S5.002,05:48:00,05:49:00,8503006,2
S5.002,06:02:00,06:03:00,8503016,3
S5.002,06:14:00,06:15:00,8503060,4
S5.003,06:07:00,06:07:00,8503000,1
S5.003,06:18:00,06:19:00,8503006,2
S5.003,06:27:00,06:28:00,8503016,3
S5.003,06:38:00,06:39:00,8503060,4
S5.004,06:37:00,06:37:00,8503000,1
S5.004,06:51:00,06:52:00,8503006,2
S5.004,07:00:00,07:01:00,8503016,3
S5.004,07:14:00,07:15:00,8503060,4
S5.005,07:07:00,07:07:00,8503000,1
S5.005,07:19:00,07:20:00,8503006,2
S5.005,07:33:00,07:34:00,8503016,3
S5.005,07:44:00,07:45:00,8503060,4
S5.006,07:37:00,07:37:00,8503000,1
S5.006,07:51:00,07:52:00,8503006,2
S5.006,08:05:00,08:06:00,8503016,3
S5.006,08:19:00,08:20:00,8503060,4
S5.007,08:07:00,08:07:00,8503000,1
S5.007,08:21:00,08:22:00,8503006,2
S5.007,08:35:00,08:36:00,8503016,3
S5.007,08:46:00,08:47:00,8503060,4
S5.008,08:37:00,08:37:00,8503000,1
S5.008,08:53:00,08:54:00,8503006,2
S5.008,09:05:00,09:06:00,8503016,3
S5.008,09:19:00,09:20:00,8503060,4
S5.009,09:07:00,09:07:00,8503000,1
S5.009,09:18:00,09:19:00,8503006,2
S5.009,09:32:00,09:33:00,8503016,3
S5.009,09:44:00,09:45:00,8503060,4
S5.010,09:37:00,09:37:00,8503000,1
S5.010,09:46:00,09:47:00,8503006,2
S5.010,10:02:00,10:03:00,8503016,3
S5.010,10:13:00,10:14:00,8503060,4
S5.011,10:07:00,10:07:00,8503000,1
S5.011,10:19:00,10:20:00,8503006,2
S5.011,10:28:00,10:29:00,8503016,3
S5.011,10:39:00,10:40:00,8503060,4
S5.012,10:37:00,10:37:00,8503000,1
S5.012,10:48:00,10:49:00,8503006,2
S5.012,11:00:00,11:01:00,8503016,3
S5.012,11:11:00,11:12:00,8503060,4
S5.013,11:07:00,11:07:00,8503000,1
S5.013,11:23:00,11:24:00,8503006,2
S5.013,11:32:00,11:33:00,8503016,3
S5.013,11:44:00,11:45:00,8503060,4
S5.014,11:37:00,11:37:00,8503000,1
S5.014,11:49:00,11:50:00,8503006,2
S5.014,12:03:00,12:04:00,8503016,3
S5.014,12:14:00,12:15:00,8503060,4
S5.015,12:07:00,12:07:00,8503000,1
S5.015,12:16:00,12:17:00,8503006,2
S5.015,12:32:00,12:33:00,8503016,3
S5.015,12:43:00,12:44:00,8503060,4
S5.016,12:37:00,12:37:00,8503000,1
S5.016,12:49:00,12:50:00,8503006,2
S5.016,12:58:00,12:59:00,8503016,3
S5.016,13:09:00,13:10:00,8503060,4
S5.017,13:07:00,13:07:00,8503000,1
S5.017,13:21:00,13:22:00,8503006,2
S5.017,13:32:00,13:33:00,8503016,3
S5.017,13:48:00,13:49:00,8503060,4
S5.018,13:37:00,13:37:00,8503000,1
S5.018,13:46:00,13:47:00,8503006,2
S5.018,13:55:00,13:56:00,8503016,3
S5.018,14:11:00,14:12:00,8503060,4
S5.019,14:07:00,14:07:00,8503000,1
S5.019,14:16:00,14:17:00,8503006,2
S5.019,14:30:00,14:31:00,8503016,3
S5.019,14:41:00,14:42:00,8503060,4
S5.020,14:37:00,14:37:00,8503000,1
S5.020,14:48:00,14:49:00,8503006,2
S5.020,15:04:00,15:05:00,8503016,3
S5.020,15:18:00,15:19:00,8503060,4
S5.021,15:07:00,15:07:00,8503000,1
S5.021,15:21:00,15:22:00,8503006,2
S5.021,15:37:00,15:38:00,8503016,3
S5.021,15:51:00,15:52:00,8503060,4
S5.022,15:37:00,15:37:00,8503000,1
S5.022,15:53:00,15:54:00,8503006,2
S5.022,16:09:00,16:10:00,8503016,3
S5.022,16:18:00,16:19:00,8503060,4
S5.023,16:07:00,16:07:00,8503000,1
S5.023,16:16:00,16:17:00,8503006,2
S5.023,16:32:00,16:33:00,8503016,3
S5.023,16:41:00,16:42:00,8503060,4
S5.024,16:37:00,16:37:00,8503000,1
S5.024,16:46:00,16:47:00,8503006,2
S5.024,17:02:00,17:03:00,8503016,3
S5.024,17:18:00,17:19:00,8503060,4
S5.025,17:07:00,17:07:00,8503000,1
S5.025,17:16:00,17:17:00,8503006,2
S5.025,17:28:00,17:29:00,8503016,3
S5.025,17:39:00,17:40:00,8503060,4
S5.026,17:37:00,17:37:00,8503000,1
S5.026,17:46:00,17:47:00,8503006,2
S5.026,17:58:00,17:59:00,8503016,3
S5.026,18:12:00,18:13:00,8503060,4
S5.027,18:07:00,18:07:00,8503000,1
S5.027,18:21:00,18:22:00,8503006,2
S5.027,18:30:00,18:31:00,8503016,3
S5.027,18:42:00,18:43:00,8503060,4
S5.028,18:37:00,18:37:00,8503000,1
S5.028,18:53:00,18:54:00,8503006,2
S5.028,19:07:00,19:08:00,8503016,3
S5.028,19:19:00,19:20:00,8503060,4
S5.029,19:07:00,19:07:00,8503000,1
S5.029,19:23:00,19:24:00,8503006,2
S5.029,19:37:00,19:38:00,8503016,3
S5.029,19:51:00,19:52:00,8503060,4
S5.030,19:37:00,19:37:00,8503000,1
S5.030,19:49:00,19:50:00,8503006,2
S5.030,20:01:00,20:02:00,8503016,3
S5.030,20:13:00,20:14:00,8503060,4
S5.031,20:07:00,20:07:00,8503000,1
S5.031,20:16:00,20:17:00,8503006,2
S5.031,20:28:00,20:29:00,8503016,3
S5.031,20:40:00,20:41:00,8503060,4
S5.032,20:37:00,20:37:00,8503000,1
S5.032,20:51:00,20:52:00,8503006,2
S5.032,21:07:00,21:08:00,8503016,3
S5.032,21:23:00,21:24:00,8503060,4
S5.033,21:07:00,21:07:00,8503000,1
S5.033,21:23:00,21:24:00,8503006,2
S5.033,21:37:00,21:38:00,8503016,3
S5.033,21:49:00,21:50:00,8503060,4
S5.034,21:37:00,21:37:00,8503000,1
S5.034,21:51:00,21:52:00,8503006,2
S5.034,22:07:00,22:08:00,8503016,3
S5.034,22:23:00,22:24:00,8503060,4
S5.035,22:07:00,22:07:00,8503000,1
S5.035,22:23:00,22:24:00,8503006,2
S5.035,22:32:00,22:33:00,8503016,3
S5.035,22:43:00,22:44:00,8503060,4
S5.036,22:37:00,22:37:00,8503000,1
S5.036,22:46:00,22:47:00,8503006,2
S5.036,22:55:00,22:56:00,8503016,3
S5.036,23:11:00,23:12:00,8503060,4
S5.037,23:07:00,23:07:00,8503000,1
S5.037,23:19:00,23:20:00,8503006,2
S5.037,23:35:00,23:36:00,8503016,3
S5.037,23:49:00,23:50:00,8503060,4
S5.038,23:37:00,23:37:00,8503000,1
S5.038,23:46:00,23:47:00,8503006,2
S5.038,23:58:00,23:59:00,8503016,3
S5.038,24:14:00,24:15:00,8503060,4
S7.001,05:07:00,05:07:00,8503000,1
S7.001,05:18:00,05:19:00,8503006,2
S7.001,05:27:00,05:28:00,8506000,3
S7.002,05:37:00,05:37:00,8503000,1
S7.002,05:48:00,05:49:00,8503006,2
S7.002,05:59:00,06:00:00,8506000,3
S7.003,06:07:00,06:07:00,8503000,1
S7.003,06:21:00,06:22:00,8503006,2
S7.003,06:30:00,06:31:00,8506000,3
S7.004,06:37:00,06:37:00,8503000,1
S7.004,06:53:00,06:54:00,8503006,2
S7.004,07:02:00,07:03:00,8506000,3
S7.005,07:07:00,07:07:00,8503000,1
S7.005,07:21:00,07:22:00,8503006,2
S7.005,07:35:00,07:36:00,8506000,3
S7.006,07:37:00,07:37:00,8503000,1
S7.006,07:49:00,07:50:00,8503006,2
S7.006,07:58:00,07:59:00,8506000,3
S7.007,08:07:00,08:07:00,8503000,1
S7.007,08:19:00,08:20:00,8503006,2
S7.007,08:31:00,08:32:00,8506000,3
S7.008,08:37:00,08:37:00,8503000,1
S7.008,08:49:00,08:50:00,8503006,2
S7.008,09:01:00,09:02:00,8506000,3
S7.009,09:07:00,09:07:00,8503000,1
S7.009,09:23:00,09:24:00,8503006,2
S7.009,09:32:00,09:33:00,8506000,3
S7.010,09:37:00,09:37:00,8503000,1
S7.010,09:51:00,09:52:00,8503006,2
S7.010,10:00:00,10:01:00,8506000,3
S7.011,10:07:00,10:07:00,8503000,1
S7.011,10:21:00,10:22:00,8503006,2
S7.011,10:33:00,10:34:00,8506000,3
S7.012,10:37:00,10:37:00,8503000,1
S7.012,10:51:00,10:52:00,8503006,2
S7.012,11:02:00,11:03:00,8506000,3
S7.013,11:07:00,11:07:00,8503000,1
S7.013,11:18:00,11:19:00,8503006,2
S7.013,11:34:00,11:35:00,8506000,3
S7.014,11:37:00,11:37:00,8503000,1
S7.014,11:49:00,11:50:00,8503006,2
S7.014,11:58:00,11:59:00,8506000,3
S7.015,12:07:00,12:07:00,8503000,1
S7.015,12:16:00,12:17:00,8503006,2
S7.015,12:32:00,12:33:00,8506000,3
S7.016,12:37:00,12:37:00,8503000,1
S7.016,12:53:00,12:54:00,8503006,2
S7.016,13:04:00,13:05:00,8506000,3
S7.017,13:07:00,13:07:00,8503000,1
S7.017,13:19:00,13:20:00,8503006,2
S7.017,13:33:00,13:34:00,8506000,3
S7.018,13:37:00,13:37:00,8503000,1
S7.018,13:48:00,13:49:00,8503006,2
S7.018,13:57:00,13:58:00,8506000,3
S7.019,14:07:00,14:07:00,8503000,1
S7.019,14:21:00,14:22:00,8503006,2
S7.019,14:32:00,14:33:00,8506000,3
S7.020,14:37:00,14:37:00,8503000,1
S7.020,14:51:00,14:52:00,8503006,2
S7.020,15:00:00,15:01:00,8506000,3
S7.021,15:07:00,15:07:00,8503000,1
S7.021,15:16:00,15:17:00,8503006,2
S7.021,15:25:00,15:26:00,8506000,3
S7.022,15:37:00,15:37:00,8503000,1
S7.022,15:46:00,15:47:00,8503006,2
S7.022,16:00:00,16:01:00,8506000,3
S7.023,16:07:00,16:07:00,8503000,1
S7.023,16:16:00,16:17:00,8503006,2
S7.023,16:30:00,16:31:00,8506000,3
S7.024,16:37:00,16:37:00,8503000,1
S7.024,16:48:00,16:49:00,8503006,2
S7.024,17:00:00,17:01:00,8506000,3
S7.025,17:07:00,17:07:00,8503000,1
S7.025,17:19:00,17:20:00,8503006,2
S7.025,17:30:00,17:31:00,8506000,3
S7.026,17:37:00,17:37:00,8503000,1
S7.026,17:53:00,17:54:00,8503006,2
S7.026,18:09:00,18:10:00,8506000,3
S7.027,18:07:00,18:07:00,8503000,1
S7.027,18:16:00,18:17:00,8503006,2
S7.027,18:25:00,18:26:00,8506000,3
S7.028,18:37:00,18:37:00,8503000,1
S7.028,18:53:00,18:54:00,8503006,2
S7.028,19:04:00,19:05:00,8506000,3
S7.029,19:07:00,19:07:00,8503000,1
S7.029,19:19:00,19:20:00,8503006,2
S7.029,19:31:00,19:32:00,8506000,3
S7.030,19:37:00,19:37:00,8503000,1
S7.030,19:53:00,19:54:00,8503006,2
S7.030,20:04:00,20:05:00,8506000,3
S7.031,20:07:00,20:07:00,8503000,1
S7.031,20:23:00,20:24:00,8503006,2
S7.031,20:32:00,20:33:00,8506000,3
S7.032,20:37:00,20:37:00,8503000,1
S7.032,20:53:00,20:54:00,8503006,2
S7.032,21:05:00,21:06:00,8506000,3
S7.033,21:07:00,21:07:00,8503000,1
S7.033,21:23:00,21:24:00,8503006,2
S7.033,21:39:00,21:40:00,8506000,3
S7.034,21:37:00,21:37:00,8503000,1
S7.034,21:46:00,21:47:00,8503006,2
S7.034,22:02:00,22:03:00,8506000,3
S7.035,22:07:00,22:07:00,8503000,1
S7.035,22:16:00,22:17:00,8503006,2
S7.035,22:28:00,22:29:00,8506000,3
S7.036,22:37:00,22:37:00,8503000,1
S7.036,22:48:00,22:49:00,8503006,2
S7.036,23:02:00,23:03:00,8506000,3
S7.037,23:07:00,23:07:00,8503000,1
S7.037,23:16:00,23:17:00,8503006,2
S7.037,23:32:00,23:33:00,8506000,3
S7.038,23:37:00,23:37:00,8503000,1
S7.038,23:46:00,23:47:00,8503006,2
S7.038,24:02:00,24:03:00,8506000,3
S7.039,24:07:00,24:07:00,8503000,1
S7.039,24:19:00,24:20:00,8503006,2
S7.039,24:31:00,24:32:00,8506000,3
S7.040,24:37:00,24:37:00,8503000,1
S7.040,24:46:00,24:47:00,8503006,2
S7.040,25:00:00,25:01:00,8506000,3
S15.001,08:07:00,08:07:00,8503000,1
S15.001,08:16:00,08:17:00,8503016,2
S15.001,08:28:00,08:29:00,8503060,3
S15.001,08:44:00,08:45:00,8503202,4
S15.002,09:07:00,09:07:00,8503000,1
S15.002,09:19:00,09:20:00,8503016,2
S15.002,09:31:00,09:32:00,8503060,3
S15.002,09:47:00,09:48:00,8503202,4
S15.003,10:07:00,10:07:00,8503000,1
S15.003,10:19:00,10:20:00,8503016,2
S15.003,10:30:00,10:31:00,8503060,3
S15.003,10:44:00,10:45:00,8503202,4
S15.004,11:07:00,11:07:00,8503000,1
S15.004,11:18:00,11:19:00,8503016,2
S15.004,11:34:00,11:35:00,8503060,3
S15.004,11:43:00,11:44:00,8503202,4
S15.005,12:07:00,12:07:00,8503000,1
S15.005,12:18:00,12:19:00,8503016,2
S15.005,12:32:00,12:33:00,8503060,3
S15.005,12:46:00,12:47:00,8503202,4
S15.006,13:07:00,13:07:00,8503000,1
S15.006,13:21:00,13:22:00,8503016,2
S15.006,13:35:00,13:36:00,8503060,3
S15.006,13:47:00,13:48:00,8503202,4
S15.007,14:07:00,14:07:00,8503000,1
S15.007,14:19:00,14:20:00,8503016,2
S15.007,14:28:00,14:29:00,8503060,3
S15.007,14:40:00,14:41:00,8503202,4
S15.008,15:07:00,15:07:00,8503000,1
S15.008,15:19:00,15:20:00,8503016,2
S15.008,15:28:00,15:29:00,8503060,3
S15.008,15:44:00,15:45:00,8503202,4
S15.009,16:07:00,16:07:00,8503000,1
S15.009,16:21:00,16:22:00,8503016,2
S15.009,16:37:00,16:38:00,8503060,3
S15.009,16:48:00,16:49:00,8503202,4
S15.010,17:07:00,17:07:00,8503000,1
S15.010,17:21:00,17:22:00,8503016,2
S15.010,17:30:00,17:31:00,8503060,3
S15.010,17:42:00,17:43:00,8503202,4
S15.011,18:07:00,18:07:00,8503000,1
S15.011,18:18:00,18:19:00,8503016,2
S15.011,18:32:00,18:33:00,8503060,3
S15.011,18:46:00,18:47:00,8503202,4
