route_id,service_id,trip_id,trip_headsign,direction_id
S7,TAEGLICH,S7.007,Winterthur,0
S7,TAEGLICH,S7.008,Winterthur,0
S7,TAEGLICH,S7.009,Winterthur,0
S7,TAEGLICH,S7.010,Winterthur,0
S7,TAEGLICH,S7.011,Winterthur,0
S7,TAEGLICH,S7.012,Winterthur,0
S7,TAEGLICH,S7.013,Winterthur,0
S7,TAEGLICH,S7.014,Winterthur,0
S7,TAEGLICH,S7.015,Winterthur,0
S7,TAEGLICH,S7.016,Winterthur,0
S7,TAEGLICH,S7.017,Winterthur,0
S7,TAEGLICH,S7.018,Winterthur,0
S7,TAEGLICH,S7.019,Winterthur,0
S7,TAEGLICH,S7.020,Winterthur,0
S7,TAEGLICH,S7.021,Winterthur,0
S7,TAEGLICH,S7.022,Winterthur,0
S7,TAEGLICH,S7.023,Winterthur,0
S7,TAEGLICH,S7.024,Winterthur,0
S7,TAEGLICH,S7.025,Winterthur,0
S7,TAEGLICH,S7.026,Winterthur,0
S7,TAEGLICH,S7.027,Winterthur,0
S7,TAEGLICH,S7.028,Winterthur,0
S7,TAEGLICH,S7.029,Winterthur,0
S7,TAEGLICH,S7.030,Winterthur,0
S7,TAEGLICH,S7.031,Winterthur,0
S7,TAEGLICH,S7.032,Winterthur,0
S7,TAEGLICH,S7.033,Winterthur,0
S7,TAEGLICH,S7.034,Winterthur,0
S7,TAEGLICH,S7.035,Winterthur,0
S7,TAEGLICH,S7.036,Winterthur,0
S7,TAEGLICH,S7.037,Winterthur,0
S7,TAEGLICH,S7.038,Winterthur,0
S7,TAEGLICH,S7.039,Winterthur,0
S7,TAEGLICH,S7.040,Winterthur,0
S15,WOCHENENDE,S15.001,Rapperswil,0
S15,WOCHENENDE,S15.002,Rapperswil,0
S15,WOCHENENDE,S15.003,Rapperswil,0
S15,WOCHENENDE,S15.004,Rapperswil,0
S15,WOCHENENDE,S15.005,Rapperswil,0
S15,WOCHENENDE,S15.006,Rapperswil,0
S15,WOCHENENDE,S15.007,Rapperswil,0
S15,WOCHENENDE,S15.008,Rapperswil,0
S15,WOCHENENDE,S15.009,Rapperswil,0
S15,WOCHENENDE,S15.010,Rapperswil,0
S15,WOCHENENDE,S15.011,Rapperswil,0
IR75,TAEGLICH,IR75.909,Luzern,0
